Cell name	Sample name	Stage	CD4 T cell subsets	Cell_type	Clusters PMN	Myeloid cells cluster	Expressed genes	Mitochondrial reads percent	Ribosomal reads percent	Total count
170137	ONSET_EAE	ONSET	1	Lymphocytes	N/A	N/A	1150	0.82410000000000005	0.94769999999999999	2427
214558	ONSET_EAE	ONSET	1	Lymphocytes	N/A	N/A	1119	1.8558999999999999	1.2373000000000001	2263
517760	ONSET_EAE	ONSET	1	Lymphocytes	N/A	N/A	1142	1.3441000000000001	1.3889	2232
484109	ONSET_EAE	ONSET	1	Lymphocytes	N/A	N/A	1219	1.0269999999999999	0.85580000000000001	2337
23103	ONSET_EAE	ONSET	2	Lymphocytes	N/A	N/A	1040	0.82319999999999993	0.77990000000000004	2308
320247	ONSET_EAE	ONSET	1	Lymphocytes	N/A	N/A	1143	0.90500000000000003	1.0407	2210
762770	ONSET_EAE	ONSET	2	Lymphocytes	N/A	N/A	1096	2.2793000000000001	0.62160000000000004	2413
137389	ONSET_EAE	ONSET	1	Lymphocytes	N/A	N/A	1223	1.1874	0.6361	2358
607360	ONSET_EAE	ONSET	1	Lymphocytes	N/A	N/A	1221	0.2117	0.5504	2362
751610	ONSET_EAE	ONSET	1	Lymphocytes	N/A	N/A	1140	1.6158999999999999	0.83099999999999996	2166
204315	ONSET_EAE	ONSET	N/A	Lymphocytes	N/A	N/A	1156	0.99060000000000004	1.0377000000000001	2120
665301	ONSET_EAE	ONSET	1	Lymphocytes	N/A	N/A	1115	0.66870000000000007	1.0699999999999998	2243
252862	ONSET_EAE	ONSET	1	Lymphocytes	N/A	N/A	1201	0.73340000000000005	0.43140000000000001	2318
161806	ONSET_EAE	ONSET	1	Lymphocytes	N/A	N/A	1155	0.79699999999999993	0.84389999999999998	2133
163377	ONSET_EAE	ONSET	1	Lymphocytes	N/A	N/A	1245	1.2312999999999998	0.87950000000000006	2274
71549	ONSET_EAE	ONSET	1	Lymphocytes	N/A	N/A	1233	0.85509999999999997	1.1251	2222
580098	ONSET_EAE	ONSET	1	Lymphocytes	N/A	N/A	1106	1.4253	1.0115000000000001	2175
81080	ONSET_EAE	ONSET	1	Lymphocytes	N/A	N/A	1032	0.35100000000000003	0.70210000000000006	2279
622975	ONSET_EAE	ONSET	1	Lymphocytes	N/A	N/A	1161	0.94979999999999998	0.67400000000000004	3264
348279	ONSET_EAE	ONSET	1	Lymphocytes	N/A	N/A	1123	1.3889	0.98569999999999991	2232
93226	ONSET_EAE	ONSET	1	Lymphocytes	N/A	N/A	1037	0.56820000000000004	1.1837	2112
626202	ONSET_EAE	ONSET	1	Lymphocytes	N/A	N/A	1164	0.56769999999999998	0.87340000000000007	2290
709117	ONSET_EAE	ONSET	1	Lymphocytes	N/A	N/A	1115	1.165	1.165	2060
286841	ONSET_EAE	ONSET	1	Lymphocytes	N/A	N/A	1079	3.1384000000000003	0.71329999999999993	2103
292777	ONSET_EAE	ONSET	1	Lymphocytes	N/A	N/A	1136	0.7802	0.8236	2307
539403	ONSET_EAE	ONSET	1	Lymphocytes	N/A	N/A	1114	1.6811	0.91260000000000008	2082
141083	ONSET_EAE	ONSET	1	Lymphocytes	N/A	N/A	1016	2.1429	0.89289999999999992	2240
370772	ONSET_EAE	ONSET	1	Lymphocytes	N/A	N/A	1171	0.94179999999999997	0.42810000000000004	2336
602263	ONSET_EAE	ONSET	1	Lymphocytes	N/A	N/A	1101	1.4330000000000001	0.76769999999999994	1954
567497	ONSET_EAE	ONSET	1	Lymphocytes	N/A	N/A	1116	1.2238	0.39339999999999997	2288
411636	ONSET_EAE	ONSET	1	Lymphocytes	N/A	N/A	1143	1.0715999999999999	0.92549999999999999	2053
715901	ONSET_EAE	ONSET	1	Lymphocytes	N/A	N/A	1180	0.77200000000000002	0.68120000000000003	2202
104941	ONSET_EAE	ONSET	1	Lymphocytes	N/A	N/A	1112	1.1606999999999998	0.72540000000000004	2757
765083	ONSET_EAE	ONSET	1	Lymphocytes	N/A	N/A	999	1.3944000000000001	0.59760000000000002	2008
221610	ONSET_EAE	ONSET	1	Lymphocytes	N/A	N/A	1062	1.3644999999999998	1.3644999999999998	2052
373981	ONSET_EAE	ONSET	1	Lymphocytes	N/A	N/A	1086	0.62830000000000008	0.53169999999999995	2069
859971	ONSET_EAE	ONSET	2	Lymphocytes	N/A	N/A	1189	2.2582	0.29830000000000001	2347
584059	ONSET_EAE	ONSET	1	Lymphocytes	N/A	N/A	1190	2.5186000000000002	0.66059999999999997	2422
26527	ONSET_EAE	ONSET	2	Lymphocytes	N/A	N/A	1062	1.1309	0.65250000000000008	2299
289602	ONSET_EAE	ONSET	1	Lymphocytes	N/A	N/A	964	2.2643	0.8952	1899
416262	ONSET_EAE	ONSET	1	Lymphocytes	N/A	N/A	1042	1.6548	0.80379999999999996	2115
780207	ONSET_EAE	ONSET	N/A	Lymphocytes	N/A	N/A	1206	1.6441000000000001	0.24180000000000001	2068
61960	ONSET_EAE	ONSET	1	Lymphocytes	N/A	N/A	1078	2.5770999999999997	0.85899999999999999	1979
698677	ONSET_EAE	ONSET	1	Lymphocytes	N/A	N/A	913	1.4213	0.91369999999999996	1970
16205	ONSET_EAE	ONSET	1	Lymphocytes	N/A	N/A	1136	1.4955000000000001	0.64810000000000001	2006
199131	ONSET_EAE	ONSET	1	Lymphocytes	N/A	N/A	949	1.5547	0.65200000000000002	1994
33693	ONSET_EAE	ONSET	1	Lymphocytes	N/A	N/A	1116	2.0962999999999998	0.80289999999999995	2242
301033	ONSET_EAE	ONSET	1	Lymphocytes	N/A	N/A	877	3.3776000000000002	0.83059999999999989	1806
744009	ONSET_EAE	ONSET	1	Lymphocytes	N/A	N/A	1053	2.1461000000000001	0.86759999999999993	2190
341693	ONSET_EAE	ONSET	1	Lymphocytes	N/A	N/A	1014	1.6811	0.90869999999999995	2201
596186	ONSET_EAE	ONSET	1	Lymphocytes	N/A	N/A	1034	0.79139999999999988	1.3002	1769
119867	ONSET_EAE	ONSET	1	Lymphocytes	N/A	N/A	915	0.26440000000000002	1.3749	1891
99995	ONSET_EAE	ONSET	2	Lymphocytes	N/A	N/A	917	1.0370999999999999	1.0370999999999999	1832
276199	ONSET_EAE	ONSET	1	Lymphocytes	N/A	N/A	1102	0.60130000000000006	0.55500000000000005	2162
273258	ONSET_EAE	ONSET	1	Lymphocytes	N/A	N/A	908	2.1677	0.91269999999999996	1753
438531	ONSET_EAE	ONSET	1	Lymphocytes	N/A	N/A	1072	1.7233999999999998	0.46239999999999998	2379
114134	ONSET_EAE	ONSET	1	Lymphocytes	N/A	N/A	1105	1.1231	0.51469999999999994	2137
672962	ONSET_EAE	ONSET	2	Lymphocytes	N/A	N/A	1009	1.137	0.87860000000000005	1935
508847	ONSET_EAE	ONSET	1	Lymphocytes	N/A	N/A	941	1.6584000000000001	0.93970000000000009	1809
469327	ONSET_EAE	ONSET	1	Lymphocytes	N/A	N/A	936	0.3478	0.92749999999999999	1725
343003	ONSET_EAE	ONSET	2	Lymphocytes	N/A	N/A	910	3.8998999999999997	0.77029999999999998	2077
52626	ONSET_EAE	ONSET	1	Lymphocytes	N/A	N/A	1056	1.3105	0.504	1984
394522	ONSET_EAE	ONSET	1	Lymphocytes	N/A	N/A	1137	1.1549	0.41989999999999994	1905
619392	ONSET_EAE	ONSET	1	Lymphocytes	N/A	N/A	1047	0.39339999999999997	0.6119	2288
663299	ONSET_EAE	ONSET	1	Lymphocytes	N/A	N/A	1022	0.55249999999999999	1.3812	2172
92416	ONSET_EAE	ONSET	1	Lymphocytes	N/A	N/A	1120	0.30499999999999999	0.55919999999999992	1967
77530	ONSET_EAE	ONSET	2	Lymphocytes	N/A	N/A	923	2.0855999999999999	1.0694999999999999	1870
592631	ONSET_EAE	ONSET	1	Lymphocytes	N/A	N/A	968	0.68430000000000002	0.5474	2192
232821	ONSET_EAE	ONSET	1	Lymphocytes	N/A	N/A	989	0.89840000000000009	0.44920000000000004	1781
291133	ONSET_EAE	ONSET	1	Lymphocytes	N/A	N/A	986	1.7427000000000001	0.97389999999999999	1951
670522	ONSET_EAE	ONSET	N/A	Lymphocytes	N/A	N/A	931	3.8691999999999998	1.2534000000000001	1835
189085	ONSET_EAE	ONSET	1	Lymphocytes	N/A	N/A	1082	0.65960000000000008	1.0654000000000001	1971
480806	ONSET_EAE	ONSET	1	Lymphocytes	N/A	N/A	1046	1.3714	0.60340000000000005	1823
454709	ONSET_EAE	ONSET	1	Lymphocytes	N/A	N/A	985	0.88540000000000008	0.74560000000000004	2146
251160	ONSET_EAE	ONSET	1	Lymphocytes	N/A	N/A	1012	2.0362999999999998	0.99060000000000004	1817
52030	ONSET_EAE	ONSET	1	Lymphocytes	N/A	N/A	935	1.1554	0.69319999999999993	1731
257283	ONSET_EAE	ONSET	1	Lymphocytes	N/A	N/A	964	2.0019	0.79139999999999988	2148
584594	ONSET_EAE	ONSET	1	Lymphocytes	N/A	N/A	978	2.3056000000000001	0.37529999999999997	1865
