Cell name	Sample name	Condition	Stage	General_classification	PMN clusters	Expressed genes	Mitochondrial reads percent	Ribosomal reads percent	Total count
377169	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	1549	0.69530000000000003	0.058500000000000003	15389
177903	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	1917	0.21380000000000002	0.1913	8886
778514	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	1803	0.11219999999999999	0.070099999999999996	7129
621568	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	1624	0.90240000000000009	0.077399999999999997	11635
787367	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	1715	0.76929999999999998	0.1099	8189
475247	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	1748	0.32429999999999998	0.094600000000000004	7400
83021	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	1667	0.52969999999999995	0.0407	9817
203902	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_2	1654	2.7585999999999999	0.22989999999999999	6525
47649	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	1674	0.26269999999999999	0.23879999999999998	8374
144786	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	1771	0.47819999999999996	0.13879999999999998	6483
483108	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	1694	0.56109999999999993	0.14030000000000001	8555
471352	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	1692	0.45030000000000003	0.087600000000000011	7995
152698	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	1630	0.48989999999999995	0.20779999999999998	6736
331304	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	1462	1.1554	0.18810000000000002	7443
61844	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	1693	0.46889999999999998	0.2198	6824
10523	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	1602	0.55659999999999998	0.079500000000000001	8804
29533	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	1645	0.46360000000000001	0.15939999999999999	6902
630835	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	1695	0.64410000000000001	0.064399999999999999	9315
211712	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	1683	1.2430999999999999	0.18790000000000001	6918
377	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	1690	0.79290000000000005	0.15859999999999999	7567
812563	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	1659	1.2991999999999999	0.1368	7312
348831	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	1569	1.4734	0.13519999999999999	7398
161051	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	1680	0.70240000000000002	0.1479	8115
509647	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	1516	0.86859999999999993	0.12409999999999999	9671
245123	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	1507	0.91629999999999989	0.067900000000000002	8840
536992	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	1512	0.49370000000000003	0.095600000000000004	6279
149272	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	1708	0.3306	0.091200000000000003	8772
875150	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	1633	0.65280000000000005	0.126	8731
401667	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	1500	1.9567000000000001	0.20600000000000002	6797
49450	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	1440	0.63319999999999999	0.10779999999999999	7423
600169	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	1513	0.81300000000000006	0.0407	7380
95372	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	1550	0.84509999999999996	0.21619999999999998	10176
532263	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	1592	0.46490000000000004	0.060600000000000001	9895
715148	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	1694	0.53590000000000004	0.0872	8024
340944	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	1639	0.8519000000000001	0.1157	9508
411968	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	1648	0.99869999999999992	0.19689999999999999	7109
797351	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	1459	0.40010000000000001	0.064500000000000002	7748
507025	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	1654	0.36840000000000001	0.12279999999999999	7328
716998	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	1666	0.55049999999999999	0.24459999999999998	6540
366038	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	1692	0.52160000000000006	0.25370000000000004	7094
216002	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	1661	0.58409999999999995	0.089899999999999994	6677
807734	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	1661	0.49149999999999999	0.066400000000000001	7528
124619	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	1467	0.4516	0.1835	7086
646595	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	1461	0.76139999999999997	0.073700000000000002	8143
741928	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	1493	0.64029999999999998	0.14230000000000001	9839
166831	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	1863	0.155	0.186	6452
527298	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	1456	0.80940000000000001	0.054699999999999999	9143
499213	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	1612	0.48329999999999995	0.17449999999999999	7449
338043	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	1614	0.46589999999999998	0.2019	6439
537092	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_2	1502	0.48859999999999998	0.15029999999999999	13304
60049	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	1602	0.5827	0.12140000000000001	8238
345176	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	1416	0.63780000000000003	0.2268	7056
241531	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	1612	0.55640000000000001	0.051500000000000004	9706
710134	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	1531	0.70669999999999999	0.1237	11320
673334	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	1531	0.91800000000000004	0.1434	6972
627829	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	1685	0.94340000000000002	0.13689999999999999	6572
810274	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	1581	0.49439999999999995	0.084699999999999998	7080
272957	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	1884	1.0037	0.26250000000000001	6476
815714	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	1575	1.0229999999999999	0.11720000000000001	9384
539134	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	1491	0.67500000000000004	0.14849999999999999	7407
882815	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	1465	1.1098000000000001	0.13250000000000001	6037
729814	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	1591	0.3029	0.11850000000000001	7594
554432	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	1540	0.41120000000000001	0.1469	6809
171153	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	1678	0.7077	0.083299999999999999	7206
614193	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	1559	0.68289999999999995	0.086900000000000005	8054
767879	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	1590	0.94569999999999999	0.023900000000000001	8354
126998	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	1642	0.74370000000000003	0.13389999999999999	6723
274981	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	1578	0.2843	0.13539999999999999	7386
117431	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	1640	0.73159999999999992	0.11939999999999999	6698
101972	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	1581	0.77190000000000003	0.1225	8162
696291	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	1527	0.50439999999999996	0.092899999999999996	7533
243934	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	1526	0.62729999999999997	0.0998	7014
607781	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	1553	0.65189999999999992	0.1326	9050
812343	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	1449	0.67500000000000004	0.11069999999999999	9037
4756	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	1594	0.27279999999999999	0.15790000000000001	6966
453555	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	1529	0.80169999999999997	0.16880000000000001	7110
678099	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	1761	0.7591	0.26400000000000001	6060
103081	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	1540	0.24359999999999998	0.046399999999999997	8620
