"cell_id","cluster"
"X232662","1"
"X460382","1"
"X749273","1"
"X264713","1"
"X561218","1"
"X483097","1"
"X140160","1"
"X419941","1"
"X499486","1"
"X160079","1"
"X583555","2"
"X427264","1"
"X452411","1"
"X204250","2"
"X775671","1"
"X628183","2"
"X335450","1"
"X809560","1"
"X497267","1"
"X83142","1"
"X543548","1"
"X281748","1"
"X199767","1"
"X385225","1"
"X454721","3"
"X105259","2"
"X795273","1"
"X187910","2"
"X220758","1"
"X819104","1"
"X763478","1"
"X750200","1"
"X710247","2"
"X528602","1"
"X711216","2"
"X168522","2"
"X84439","1"
"X274729","1"
"X261909","1"
"X513558","1"
"X765462","1"
"X54838","1"
"X467125","1"
"X280833","1"
"X291448","1"
"X580595","1"
"X185534","1"
"X812057","2"
"X411876","1"
"X213802","1"
"X615419","1"
"X598312","1"
"X382442","1"
"X406881","1"
"X148368","1"
"X267209","1"
"X512708","1"
"X817872","1"
"X736376","1"
"X547788","1"
"X139963","1"
"X46002","1"
"X508002","1"
"X246529","2"
"X347870","1"
"X739625","1"
"X362561","2"
"X308818","2"
"X315814","1"
"X720833","1"
"X791487","1"
"X644856","1"
"X426312","1"
"X229546","1"
"X538381","2"
"X215806","1"
"X115076","1"
"X685159","1"
"X501929","1"
"X71439","1"
"X747571","1"
"X673212","1"
"X169650","1"
"X205594","2"
"X354145","1"
"X778260","1"
"X153406","1"
"X507188","1"
"X727392","1"
"X614804","1"
"X406851","1"
"X648807","3"
"X327271","1"
"X299499","1"
"X427500","1"
"X23267","3"
"X791413","1"
"X28426","1"
"X535375","2"
"X397998","3"
"X784930","1"
"X709392","1"
"X31251","1"
"X381123","2"
"X638056","1"
"X657564","1"
"X50352","1"
"X89982","1"
"X629319","2"
"X546471","1"
"X229917","1"
"X522897","3"
"X809181","1"
"X140002","1"
"X595401","1"
"X247495","1"
"X330039","2"
"X509030","1"
"X251590","1"
"X321160","1"
"X391863","1"
"X408735","1"
"X564246","1"
"X726424","1"
"X769757","1"
"X530502","1"
"X852212","1"
"X709405","1"
"X308339","1"
"X74641","2"
"X836338","2"
"X613922","1"
"X525097","1"
"X881580","1"
"X116158","1"
"X768297","1"
"X644682","1"
"X472772","1"
"X568816","1"
"X259706","2"
"X867290","1"
"X10558","2"
"X301138","1"
"X24075","1"
"X363141","1"
"X248486","1"
"X120172","1"
"X839540","1"
"X329747","1"
"X652163","2"
"X586989","1"
"X582270","1"
"X346334","1"
"X524658","1"
"X838945","1"
"X585055","1"
"X629376","1"
"X267745","1"
"X626004","2"
"X818838","1"
"X544115","1"
"X803738","2"
"X619296","1"
"X705477","1"
"X741252","1"
"X303008","2"
"X766064","2"
"X83157","2"
"X391666","1"
"X671937","1"
"X755728","1"
"X14471","1"
"X811101","2"
"X761385","1"
"X445026","1"
"X127774","1"
"X839209","1"
"X40374","1"
"X679878","2"
"X364606","1"
"X197095","1"
"X93659","1"
"X216289","1"
"X626110","1"
"X266064","1"
"X248028","2"
"X461885","2"
"X631778","1"
"X829397","1"
"X692228","1"
"X812479","3"
"X839090","1"
"X528585","1"
"X770229","1"
"X597937","1"
"X722407","2"
"X364247","1"
"X550685","1"
"X532955","2"
"X187854","1"
"X855269","1"
"X448628","1"
"X589358","1"
"X53240","2"
"X585589","1"
"X206477","2"
"X201893","1"
"X851376","1"
"X153964","1"
"X808582","1"
"X32433","2"
"X116669","1"
"X633465","1"
"X494506","2"
"X750283","1"
"X802216","1"
"X576336","1"
"X558406","1"
"X776377","1"
"X636441","1"
"X693530","1"
"X234781","3"
"X415793","1"
"X489359","1"
"X863441","2"
"X531746","1"
"X756453","1"
"X640527","2"
"X526170","1"
"X634135","1"
"X397553","1"
"X536974","1"
"X20904","1"
"X176500","2"
"X543693","1"
"X356971","1"
"X449130","1"
"X432325","1"
"X650564","1"
"X139213","1"
"X370108","1"
"X455345","2"
"X350739","3"
"X348893","1"
"X518560","1"
"X853539","1"
"X480410","1"
"X421831","1"
"X292528","1"
"X552266","2"
"X818880","1"
"X237711","1"
"X800296","2"
"X829301","1"
"X679298","1"
"X729351","3"
"X468692","2"
"X711693","1"
"X748294","1"
"X360191","1"
"X478256","1"
"X334482","1"
"X717848","2"
"X605239","1"
"X691703","1"
"X349448","1"
"X122808","2"
"X284909","1"
"X387325","1"
"X725591","1"
"X373401","1"
"X94618","2"
"X575079","2"
"X584050","1"
"X860398","1"
"X130759","3"
"X854974","2"
"X766533","1"
"X665491","2"
"X396218","1"
"X381433","1"
"X391764","1"
"X535211","2"
"X830764","2"
"X281324","1"
"X298054","1"
"X882907","2"
"X235597","1"
"X60796","1"
"X722244","1"
"X285115","1"
"X312161","1"
"X37089","2"
"X750846","2"
"X576500","3"
"X62258","2"
"X485490","1"
"X115283","1"
"X516047","1"
"X654680","1"
"X865405","1"
"X532136","1"
"X832199","1"
"X693685","2"
"X758965","2"
"X546566","2"
"X321736","1"
"X326635","1"
"X84431","1"
"X176781","1"
"X442793","2"
"X462392","1"
"X460512","2"
"X856136","1"
"X66259","1"
"X667333","1"
"X838248","2"
"X386887","2"
"X772429","1"
"X689197","1"
"X55896","1"
"X525066","1"
"X796805","1"
"X834961","2"
"X192984","1"
"X35786","1"
"X289432","1"
"X550554","1"
"X505151","1"
"X316039","1"
"X281672","1"
"X569922","1"
"X593342","1"
"X879481","1"
"X19569","2"
"X792610","1"
"X312095","1"
"X222643","1"
"X824041","1"
"X769718","1"
"X413726","1"
"X863114","1"
"X442951","1"
"X90762","1"
"X810252","1"
"X770869","1"
"X446543","2"
"X433714","1"
